,ID_Pedido,Prioridade_Pedido,Quantidade_Pedido,Vendas,Modo_Envio,Lucro,Nome_Cliente,Região,Tipo_Cliente,Categoria_Produto,SubCategoria_Produto,Nome_Produto,Embalagem_Produto
63,15907,Alta,36,3722.29,Envio Expresso,950.68,Thomas Seio,Northwest Territories,Escritório em Casa,Mobília,Móveis de escritório,"Tenex 46"" x 60"" Computer Anti-Static Chairmat, Rectangular Shaped",Caixa Média
64,49952,Alta,12,1323.67,Envio Expresso,630.28,Beth Thompson,Northwest Territories,Corporativo,Mobília,Móveis de escritório,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",Caixa Média
65,5153,Crítica,37,4896.93,Envio Expresso,1467.82,Helen Abelman,Atlantic,Escritório em Casa,Mobília,Cadeiras e tapetes para cadeiras,SAFCO Folding Chair Trolley,Caixa Média
66,25315,Baixa,36,7783.36,Envio Expresso,3506.24,Joy Smith,Atlantic,Consumidor,Insumos de Escritório,Eletrodomésticos,Holmes Harmony HEPA Air Purifier for 17 x 20 Room,Caixa Média
67,31941,Média,32,2564.45,Envio Expresso,650.73,Kimberly Carter,West,Pequenas Empresas,Insumos de Escritório,Eletrodomésticos,Honeywell Quietcare HEPA Air Cleaner,Caixa Média
68,2848,Crítica,35,1476.39,Envio Expresso,-303.62,Emily Grady,West,Escritório em Casa,Mobília,Móveis de escritório,Eldon Advantage® Chair Mats for Low to Medium Pile Carpets,Caixa Média
69,8801,Baixa,32,2593.08,Envio Expresso,-673.31,Thomas Brumley,West,Consumidor,Mobília,Móveis de escritório,Eldon Cleatmat Plus™ Chair Mats for High Pile Carpets,Caixa Média
70,18432,Alta,15,217.66,Envio Expresso,-24.91,Art Ferguson,Atlantic,Corporativo,Insumos de Escritório,Eletrodomésticos,Holmes Odor Grabber,Caixa Média
71,49441,Média,49,1981.26,Envio Expresso,100.8,Mary O'Rourke,Prarie,Escritório em Casa,Mobília,Móveis de escritório,"Deflect-o EconoMat Studded, No Bevel Mat for Low Pile Carpeting",Caixa Média
72,16165,Não especificada,24,1452.48,Envio Expresso,376.52,Hallie Redmond,Prarie,Pequenas Empresas,Mobília,Móveis de escritório,Deflect-o Glass Clear Studded Chair Mats,Caixa Média
73,515,Não especificada,19,394.27,Envio Normal,30.94,Carlos Soltero,Nunavut,Consumidor,Insumos de Escritório,Eletrodomésticos,Holmes HEPA Air Purifier,Caixa Média
74,7906,Média,37,1003.06,Envio Normal,271.78,Beth Paige,Nunavut,Consumidor,Insumos de Escritório,Eletrodomésticos,3M Office Air Cleaner,Caixa Média
75,50754,Não especificada,9,64.0305,Envio Normal,-58.34,Becky Castell,Northwest Territories,Consumidor,Tecnologia,Telefones e comunicação,Bell Sonecor JB700 Caller ID,Caixa Média
76,21223,Não especificada,8,435.29,Envio Normal,122.41,Harold Engle,Atlantic,Consumidor,Mobília,Móveis de escritório,"Deflect-o EconoMat Nonstudded, No Bevel Mat",Caixa Média
77,53508,Alta,25,342.85,Envio Normal,-32.42,Joy Smith,Prarie,Consumidor,Tecnologia,Máquinas de escritório,Sharp EL500L Fraction Calculator,Caixa Média
78,15621,Crítica,39,1105.66,Envio Normal,-136.2,Gene Hale,West,Consumidor,Insumos de Escritório,Armazenamento e Organização,Eldon Portable Mobile Manager,Caixa Média
79,22980,Não especificada,17,224.09,Envio Normal,-27.92,Rob Haberlin,West,Consumidor,Insumos de Escritório,Armazenamento e Organização,Eldon Simplefile® Box Office®,Caixa Média
80,59584,Média,7,1120.27,Envio Normal,16.81,Joy Smith,West,Consumidor,Tecnologia,Máquinas de escritório,Canon MP41DH Printing Calculator,Caixa Média
81,47108,Não especificada,7,131.55,Envio Normal,-43.74,Justin Hirsh,Atlantic,Consumidor,Tecnologia,Máquinas de escritório,Canon P1-DHIII Palm Printing Calculator,Caixa Média
82,51494,Crítica,42,493.56,Envio Normal,12.73,Justin Hirsh,Atlantic,Consumidor,Tecnologia,Máquinas de escritório,TI 30X Scientific Calculator,Caixa Média
83,6116,Média,6,9620.82,Envio Normal,-1759.58,Barry Weirich,Nunavut,Corporativo,Insumos de Escritório,"Tesouras, réguas e aparadores",High Speed Automatic Electric Letter Opener,Caixa Média
84,12289,Baixa,25,3019.41,Envio Normal,1269.05,Brendan Dodson,Northwest Territories,Corporativo,Tecnologia,Máquinas de escritório,Canon BP1200DH 12-Digit Bubble Jet Printing Calculator,Caixa Média
85,12419,Crítica,12,22079.47,Envio Normal,5322.14,Sylvia Foulston,Northwest Territories,Corporativo,Tecnologia,Máquinas de escritório,Polycom ViewStation™ Adapter H323 Videoconferencing Unit,Caixa Média
86,18144,Crítica,8,234.28,Envio Normal,-65.42,Dorothy Wardle,Northwest Territories,Corporativo,Insumos de Escritório,Armazenamento e Organização,Eldon Portable Mobile Manager,Caixa Média
87,19686,Média,2,42.31,Envio Normal,-53.08,Alan Barnes,Northwest Territories,Corporativo,Tecnologia,Máquinas de escritório,Canon P1-DHIII Palm Printing Calculator,Caixa Média
88,22469,Alta,44,275.91,Envio Normal,-162.37,Jack Lebron,Northwest Territories,Corporativo,Tecnologia,Telefones e comunicação,Bell Sonecor JB700 Caller ID,Caixa Média
89,27392,Baixa,37,5753.85,Envio Normal,2509.52,Frank Price,Northwest Territories,Corporativo,Tecnologia,Máquinas de escritório,Canon MP41DH Printing Calculator,Caixa Média
90,27553,Média,16,2631.107,Envio Normal,297.11,Jim Radford,Northwest Territories,Corporativo,Tecnologia,Telefones e comunicação,VTech VT20-2481 2.4GHz Two-Line Phone System w/Answering Machine,Caixa Média
91,28135,Crítica,37,1601.24,Envio Normal,520.69,Jeremy Lonsdale,Northwest Territories,Corporativo,Insumos de Escritório,Eletrodomésticos,Bionaire Personal Warm Mist Humidifier/Vaporizer,Caixa Média
92,32229,Alta,8,1219.19,Envio Normal,44.37,Carlos Daly,Northwest Territories,Corporativo,Tecnologia,Máquinas de escritório,Canon MP41DH Printing Calculator,Caixa Média
93,37860,Média,1,104.85,Envio Normal,-98.31,Mike Pelletier,Northwest Territories,Corporativo,Mobília,Móveis de escritório,Eldon Cleatmat® Chair Mats for Medium Pile Carpets,Caixa Média
94,39364,Alta,29,2754.93,Envio Normal,-1.33,Jamie Kunitz,Northwest Territories,Corporativo,Mobília,Móveis de escritório,"Deflect-o RollaMat Studded, Beveled Mat for Medium Pile Carpeting",Caixa Média
95,43236,Não especificada,20,205.33,Envio Normal,10.68,Jamie Kunitz,Northwest Territories,Corporativo,Mobília,Móveis de escritório,DAX Solid Wood Frames,Caixa Média
96,54274,Não especificada,20,1583.06,Envio Normal,328.0,Don Jones,Northwest Territories,Corporativo,Insumos de Escritório,Eletrodomésticos,Honeywell Quietcare HEPA Air Cleaner,Caixa Média
97,57344,Alta,47,1060.0605,Envio Normal,-71.03,Sylvia Foulston,Northwest Territories,Corporativo,Tecnologia,Telefones e comunicação,SouthWestern Bell FA970 Digital Answering Machine with Time/Day Stamp,Caixa Média
98,11362,Baixa,32,3245.73,Envio Normal,569.57,Hilary Holden,Atlantic,Corporativo,Mobília,Móveis de escritório,"Rubbermaid ClusterMat Chairmats, Mat Size- 66"" x 60"", Lip 20"" x 11"" -90 Degree Angle",Caixa Média
99,13604,Não especificada,42,3609.88,Envio Normal,-1396.22,Erica Bern,Atlantic,Corporativo,Mobília,Móveis de escritório,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,Caixa Média
100,19617,Baixa,38,952.47,Envio Normal,270.69,Jack Lebron,Atlantic,Corporativo,Tecnologia,Máquinas de escritório,TI 36X Solar Scientific Calculator,Caixa Média
101,32869,Média,49,2470.84,Envio Normal,25.04,Christopher Schild,Atlantic,Corporativo,Mobília,Móveis de escritório,"Deflect-o EconoMat Nonstudded, No Bevel Mat",Caixa Média
102,35300,Média,35,1445.6,Envio Normal,126.03,Dan Reichenbach,Atlantic,Corporativo,Mobília,Móveis de escritório,"Deflect-o EconoMat Studded, No Bevel Mat for Low Pile Carpeting",Caixa Média
103,42918,Alta,46,410.43,Envio Normal,-54.58,Logan Haushalter,Atlantic,Corporativo,Tecnologia,Máquinas de escritório,"Sharp EL501VB Scientific Calculator, Battery Operated, 10-Digit Display, Hard Case",Caixa Média
104,47846,Alta,25,2674.18,Envio Normal,631.99,Hilary Holden,Atlantic,Corporativo,Mobília,Móveis de escritório,"Rubbermaid ClusterMat Chairmats, Mat Size- 66"" x 60"", Lip 20"" x 11"" -90 Degree Angle",Caixa Média
105,47846,Alta,50,5513.82,Envio Normal,1581.93,Hilary Holden,Atlantic,Corporativo,Mobília,Móveis de escritório,"Tenex 46"" x 60"" Computer Anti-Static Chairmat, Rectangular Shaped",Caixa Média
106,54501,Crítica,16,225.46,Envio Normal,-33.03,Guy Armstrong,Prarie,Corporativo,Tecnologia,Máquinas de escritório,Sharp EL500L Fraction Calculator,Caixa Média
107,11782,Baixa,27,1541.781,Envio Normal,14.35,Marina Lichtenstein,West,Corporativo,Tecnologia,Telefones e comunicação,"Panasonic All Digital Answering System with Caller ID*, KX-TM150B",Caixa Média
108,24576,Não especificada,29,531.063,Envio Normal,24.56,Luke Weiss,West,Corporativo,Tecnologia,Telefones e comunicação,1726 Digital Answering Machine,Caixa Média
109,37281,Média,25,453.2455,Envio Normal,3.31,Roy Skaria,West,Corporativo,Tecnologia,Telefones e comunicação,1726 Digital Answering Machine,Caixa Média
110,49761,Não especificada,45,1090.6,Envio Normal,300.91,Lisa DeCherney,West,Corporativo,Tecnologia,Máquinas de escritório,TI 36X Solar Scientific Calculator,Caixa Média
111,19044,Baixa,32,4800.44,Envio Normal,1912.92,Rob Dowd,West,Corporativo,Tecnologia,Máquinas de escritório,Canon MP41DH Printing Calculator,Caixa Média
112,38690,Baixa,28,697.5,Envio Normal,169.89,Shahid Shariari,West,Corporativo,Tecnologia,Máquinas de escritório,TI 36X Solar Scientific Calculator,Caixa Média
113,50338,Não especificada,36,551.44,Envio Normal,28.7,Liz Price,Atlantic,Corporativo,Tecnologia,Máquinas de escritório,Sharp EL500L Fraction Calculator,Caixa Média
114,14406,Média,37,5610.84,Envio Normal,2366.51,Charles Sheldon,Atlantic,Corporativo,Tecnologia,Máquinas de escritório,Canon MP41DH Printing Calculator,Caixa Média
115,27396,Crítica,14,138.31,Envio Normal,-31.16,Sean Wendt,West,Corporativo,Mobília,Móveis de escritório,DAX Solid Wood Frames,Caixa Média
116,41059,Média,45,12571.63,Envio Normal,5455.96,Lycoris Saunders,Ontario,Corporativo,Tecnologia,Máquinas de escritório,Polycom VoiceStation 100,Caixa Média
117,47174,Crítica,42,642.1,Envio Normal,41.56,Maria Bertelson,Ontario,Corporativo,Tecnologia,Máquinas de escritório,Sharp EL500L Fraction Calculator,Caixa Média
118,57153,Crítica,9,106.05,Envio Normal,-14.52,Meg O'Connel,Ontario,Corporativo,Insumos de Escritório,Eletrodomésticos,"Holmes Replacement Filter for HEPA Air Cleaner, Medium Room",Caixa Média
119,59878,Alta,6,112.4,Envio Normal,-46.75,Ivan Gibson,Ontario,Corporativo,Tecnologia,Máquinas de escritório,Canon P1-DHIII Palm Printing Calculator,Caixa Média
120,1218,Não especificada,3,46.46,Envio Normal,-25.13,Craig Carroll,Ontario,Corporativo,Insumos de Escritório,Eletrodomésticos,Holmes Odor Grabber,Caixa Média
121,13410,Não especificada,29,701.94,Envio Normal,158.91,Bobby Odegard,Ontario,Corporativo,Tecnologia,Máquinas de escritório,TI 36X Solar Scientific Calculator,Caixa Média
122,15808,Crítica,3,58.14,Envio Normal,-96.25,Bill Donatelli,Ontario,Corporativo,Tecnologia,Telefones e comunicação,1726 Digital Answering Machine,Caixa Média
123,56101,Não especificada,1,21.45,Envio Normal,-7.22,Bill Donatelli,Ontario,Corporativo,Insumos de Escritório,Eletrodomésticos,Holmes Odor Grabber,Caixa Média
124,1412,Não especificada,13,59.03,Envio Expresso,26.92,Carlos Soltero,Nunavut,Consumidor,Insumos de Escritório,Etiqueta,Avery 52,Caixa Pequena
125,4676,Alta,3,49.59,Envio Expresso,-8.38,Annie Cyprus,Nunavut,Escritório em Casa,Insumos de Escritório,Papéis,Xerox 1881,Caixa Pequena
126,6182,Baixa,18,130.32,Envio Expresso,-67.28,Grant Carroll,Nunavut,Corporativo,Insumos de Escritório,Papéis,Xerox 213,Caixa Pequena
127,6916,Baixa,40,436.17,Envio Expresso,-141.27,Andrew Gjertsen,Nunavut,Consumidor,Insumos de Escritório,Armazenamento e Organização,Crate-A-Files™,Caixa Pequena
128,8419,Crítica,19,368.04,Envio Expresso,70.39,Nicole Hansen,Nunavut,Pequenas Empresas,Insumos de Escritório,Papéis,Xerox 1936,Caixa Pequena
129,8995,Alta,5,24.16,Envio Expresso,8.05,Beth Paige,Nunavut,Consumidor,Insumos de Escritório,Fichários e acessórios de fichário,Staples® General Use 3-Ring Binders,Caixa Pequena
130,8995,Alta,41,270.84,Envio Expresso,-78.02,Beth Paige,Northwest Territories,Consumidor,Insumos de Escritório,Papéis,Xerox 1904,Caixa Pequena
131,9509,Não especificada,5,101.21,Envio Expresso,2.13,Joy Bell,Northwest Territories,Escritório em Casa,Insumos de Escritório,Papéis,Xerox 1887,Caixa Pequena
132,9927,Alta,34,1608.08,Envio Expresso,-82.16,Grant Carroll,Northwest Territories,Corporativo,Tecnologia,Periféricos de Computador,Microsoft Natural Multimedia Keyboard,Caixa Pequena
133,13795,Não especificada,23,275.16,Envio Expresso,43.35,Muhammed MacIntyre,Northwest Territories,Pequenas Empresas,Insumos de Escritório,Papéis,Xerox 188,Caixa Pequena
134,16706,Alta,49,6175.776999999999,Envio Expresso,1881.58,Beth Thompson,Northwest Territories,Corporativo,Tecnologia,Telefones e comunicação,T39m,Caixa Pequena
135,19138,Baixa,30,387.0,Envio Expresso,-31.45,Carlos Daly,Northwest Territories,Escritório em Casa,Insumos de Escritório,Armazenamento e Organização,Recycled Eldon Regeneration Jumbo File,Caixa Pequena
136,22501,Alta,2,30.83,Envio Expresso,7.27,Alan Barnes,Northwest Territories,Corporativo,Insumos de Escritório,Envelopes,"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",Caixa Pequena
137,25318,Crítica,22,440.92,Envio Expresso,-65.18,Julia West,Northwest Territories,Pequenas Empresas,Mobília,Móveis de escritório,12-1/2 Diameter Round Wall Clock,Caixa Pequena
138,25634,Não especificada,26,626.07,Envio Expresso,185.32,Mike Pelletier,Northwest Territories,Corporativo,Insumos de Escritório,Envelopes,"Recycled Interoffice Envelopes with String and Button Closure, 10 x 13",Caixa Pequena
139,26370,Não especificada,20,660.27,Envio Expresso,63.83,Fred Wasserman,Northwest Territories,Escritório em Casa,Insumos de Escritório,Armazenamento e Organização,Home/Office Personal File Carts,Caixa Pequena
140,31492,Crítica,34,971.95,Envio Expresso,-21.1,Nicole Hansen,Northwest Territories,Pequenas Empresas,Insumos de Escritório,Armazenamento e Organização,Acco Perma® 2700 Stacking Storage Drawers,Caixa Pequena
141,31684,Crítica,28,456.91,Envio Expresso,-328.18,Susan Vittorini,Northwest Territories,Corporativo,Insumos de Escritório,Armazenamento e Organização,"Tenex File Box, Personal Filing Tote with Lid, Black",Caixa Pequena
142,32193,Baixa,4,40.72,Envio Expresso,-10.25,Chad Cunningham,Northwest Territories,Pequenas Empresas,Insumos de Escritório,Papéis,HP Office Paper (20Lb. and 87 Bright),Caixa Pequena
